
[Name]
pp1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity [ m s^-1 ]
-2.00000003e-01, 7.12504983e-02, -3.61891866e-01, -2.21079773e+02, 2.56119180e+00, 4.49959869e+01
-2.00000003e-01, 7.62654990e-02, -3.84662390e-01, -2.20651031e+02, 7.59375000e+00, 4.50000000e+01
-2.00000003e-01, 3.10863834e-05, -2.63045311e-01, -2.23309387e+02, 3.99932575e+00, 9.93135643e+00
-2.00000003e-01, 1.78661328e-02, -2.66225010e-01, -2.21414597e+02, 1.95927835e+00, 4.49641380e+01
-2.00000003e-01, 1.55359404e-02, -3.15572381e-01, -2.20735626e+02, 2.42237258e+00, 4.48866692e+01
-2.00000003e-01, 1.69262532e-02, -2.94887006e-01, -2.20525528e+02, 2.23407626e+00, 4.48981590e+01
-2.00000003e-01, -1.74871413e-04, -3.08840632e-01, -2.21439865e+02, 4.53144979e+00, 1.00484304e+01
-2.00000018e-01, -5.00177220e-03, -3.11213344e-01, -2.21313858e+02, 5.21672773e+00, 0.00000000e+00
-2.00000003e-01, 3.69465426e-02, -3.33483279e-01, -2.20129349e+02, 1.30409324e+00, 4.50333557e+01
-2.00000003e-01, 3.67311947e-02, -3.30504209e-01, -2.20190369e+02, 1.28516173e+00, 4.50222054e+01
-2.00000003e-01, 3.95087786e-02, -3.34636033e-01, -2.20242493e+02, 1.27241039e+00, 4.50404625e+01
-2.00000003e-01, 4.53291647e-02, -3.39587808e-01, -2.20425598e+02, 1.51688695e+00, 4.50312462e+01
-2.00000003e-01, 3.91128361e-02, -3.33101600e-01, -2.20230148e+02, 1.19380522e+00, 4.50408325e+01
-2.00000003e-01, 3.34503800e-02, -3.41463655e-01, -2.19638397e+02, 1.90880048e+00, 4.50002251e+01
-2.00000003e-01, 3.73016037e-02, -2.75970817e-01, -2.21153412e+02, 7.21437514e-01, 4.50331192e+01
-2.00000003e-01, 4.00761664e-02, -3.02975178e-01, -2.20527161e+02, 7.51961410e-01, 4.50186996e+01
-1.99999988e-01, 2.02345233e-02, -2.92114973e-01, -2.20630234e+02, 2.05726981e+00, 4.49196815e+01
-2.00000003e-01, 4.07185517e-02, -3.02584201e-01, -2.20543564e+02, 7.16317475e-01, 4.50227165e+01
-2.00000003e-01, 4.02516946e-02, -2.78220177e-01, -2.21120010e+02, 5.83986640e-01, 4.50424995e+01
-2.00000003e-01, 4.12252545e-02, -3.33072543e-01, -2.20280792e+02, 1.18742609e+00, 4.50379219e+01
