
[Name]
inlet

[Data]
X [ m ], Y [ m ], Z [ m ]
-1.18805595e-01, 4.40724790e-01, -5.05765021e-01
-8.91538858e-02, 4.37614709e-01, -5.05765021e-01
6.76458001e-01, 6.50231361e-01, -5.05765021e-01
-8.61228816e-03, 4.62121338e-01, -5.05765021e-01
1.02487358e-03, 4.35791850e-01, -5.05765021e-01
-2.83918250e-02, 4.37186241e-01, -5.05765021e-01
-5.45207746e-02, 3.67815316e-01, -5.05765021e-01
-8.39374736e-02, 3.69209707e-01, -5.05765021e-01
-6.54222518e-02, 3.91868562e-01, -5.05765021e-01
4.84357685e-01, 7.09607661e-01, -5.05765021e-01
4.68473822e-01, 6.88582003e-01, -5.05765021e-01
4.59262043e-01, 7.14437485e-01, -5.05765021e-01
2.75829732e-01, 5.38759887e-01, -5.05765021e-01
2.62182713e-01, 5.64019859e-01, -5.05765021e-01
-7.52219200e-01, 3.94533873e-01, -5.05765021e-01
-7.48896658e-01, 4.21326458e-01, -5.05765021e-01
-7.29162335e-01, 4.05305296e-01, -5.05765021e-01
2.48016536e-01, 4.95458335e-01, -5.05765021e-01
2.17734948e-01, 4.93215203e-01, -5.05765021e-01
2.32479483e-01, 5.19745767e-01, -5.05765021e-01
-1.77535061e-02, 4.13496137e-01, -5.05765021e-01
-1.17890246e-01, 7.72909403e-01, -5.05765021e-01
-3.04238260e-01, 6.82980180e-01, -5.05765021e-01
-3.24462235e-01, 6.68916464e-01, -5.05765021e-01
-3.29134285e-01, 6.94625556e-01, -5.05765021e-01
-1.87880069e-01, 9.25004959e-01, -5.05765021e-01
2.60029346e-01, 1.52173027e-01, -5.05765021e-01
2.70706773e-01, 1.74343660e-01, -5.05765021e-01
2.85855830e-01, 1.51782870e-01, -5.05765021e-01
5.61842173e-02, 1.04256582e+00, -5.05765021e-01
4.66306172e-02, 1.01894617e+00, -5.05765021e-01
3.23875062e-02, 1.04260111e+00, -5.05765021e-01
2.39300117e-01, 4.73440379e-01, -5.05765021e-01
5.59510350e-01, 1.67589799e-01, -5.05765021e-01
5.86073101e-01, 1.69207305e-01, -5.05765021e-01
5.75850964e-01, 1.43754229e-01, -5.05765021e-01
7.32208073e-01, 5.08681476e-01, -5.05765021e-01
7.28669226e-01, 4.83781129e-01, -5.05765021e-01
7.07775474e-01, 5.01560569e-01, -5.05765021e-01
7.55565763e-01, 4.91614193e-01, -5.05765021e-01
1.59485698e-01, 9.40386832e-01, -5.05765021e-01
1.86609611e-01, 9.39863920e-01, -5.05765021e-01
1.80120647e-01, 9.14764941e-01, -5.05765021e-01
-2.91584730e-01, 7.97984719e-01, -5.05765021e-01
-3.23651105e-01, 8.11035335e-01, -5.05765021e-01
-3.05242330e-01, 8.26603770e-01, -5.05765021e-01
3.53852212e-01, 4.01977897e-01, -5.05765021e-01
3.27679992e-01, 4.02849376e-01, -5.05765021e-01
3.40009034e-01, 4.25333917e-01, -5.05765021e-01
-4.12539274e-01, 1.14384882e-01, -5.05765021e-01
-4.03887302e-01, 8.85886624e-02, -5.05765021e-01
-4.29992974e-01, 9.08051431e-02, -5.05765021e-01
-3.63453776e-01, 6.35973990e-01, -5.05765021e-01
-3.82949531e-01, 6.19502783e-01, -5.05765021e-01
-3.87275517e-01, 6.44950390e-01, -5.05765021e-01
-3.70379567e-01, 6.61076665e-01, -5.05765021e-01
-1.25498742e-01, 1.03879750e-01, -5.05765021e-01
-1.14126511e-01, 8.18509236e-02, -5.05765021e-01
-1.42163455e-01, 8.04856345e-02, -5.05765021e-01
5.98281145e-01, 5.51656961e-01, -5.05765021e-01
6.01670027e-01, 5.80195248e-01, -5.05765021e-01
6.21785700e-01, 5.66225410e-01, -5.05765021e-01
1.25321761e-01, 1.53969675e-01, -5.05765021e-01
1.48261249e-01, 1.28945455e-01, -5.05765021e-01
1.16099507e-01, 1.29613221e-01, -5.05765021e-01
7.36745119e-01, 8.26918364e-01, -5.05765021e-01
7.38361895e-01, 8.54311109e-01, -5.05765021e-01
7.61754751e-01, 8.37172925e-01, -5.05765021e-01
5.69903195e-01, 1.92111969e-01, -5.05765021e-01
-5.59973955e-01, 6.40106142e-01, -5.05765021e-01
-5.30038655e-01, 6.52447820e-01, -5.05765021e-01
-5.37782490e-01, 6.24888420e-01, -5.05765021e-01
5.17936826e-01, 8.89665902e-01, -5.05765021e-01
5.08341193e-01, 9.18900847e-01, -5.05765021e-01
5.31995714e-01, 9.08001363e-01, -5.05765021e-01
5.24426997e-01, 2.62535214e-01, -5.05765021e-01
5.29730558e-01, 2.37287313e-01, -5.05765021e-01
5.05226552e-01, 2.45043010e-01, -5.05765021e-01
5.01386225e-01, 9.73487735e-01, -5.05765021e-01
