
[Name]
Plane 3

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity [ m s^-1 ]
-2.00000003e-01, 4.03549075e-02, -3.25696230e-01, 1.18578857e+02, 9.89671588e-01, 2.16563721e+01
-1.99999988e-01, -2.00000009e-03, -3.26467812e-01, 1.17530685e+02, 1.96078968e+00, 0.00000000e+00
-2.00000003e-01, 1.35756815e-02, -3.11305106e-01, 1.18432861e+02, 1.55947077e+00, 1.22630157e+01
-2.00000003e-01, 5.36828376e-02, -3.27087939e-01, 1.19024361e+02, 6.33305907e-01, 2.98926620e+01
-2.00000003e-01, 4.74439785e-02, -3.63516897e-01, 1.18093826e+02, 7.71905661e-01, 2.99006939e+01
-2.00000018e-01, 6.11344874e-02, -3.59212816e-01, 1.17907722e+02, 5.79148412e-01, 2.99382763e+01
-2.00000003e-01, 8.44741091e-02, -3.97946715e-01, 1.16591766e+02, 5.59541345e-01, 2.99812489e+01
-2.00000003e-01, 8.82009566e-02, -3.96371126e-01, 1.16591568e+02, 5.20774901e-01, 2.99817715e+01
-2.00000003e-01, 7.75019526e-02, -3.88103068e-01, 1.17096527e+02, 5.76070249e-01, 2.99661312e+01
-2.00000018e-01, 3.83381657e-02, -3.96238327e-01, 1.17237015e+02, 8.79960001e-01, 2.99605160e+01
-2.00000003e-01, 3.00949141e-02, -4.37933862e-01, 1.17327477e+02, 1.34980333e+00, 2.99876633e+01
-2.00000003e-01, 1.04067214e-02, -4.15958971e-01, 1.17201508e+02, 1.97327709e+00, 9.10623837e+00
-2.00000003e-01, 1.91734377e-02, -4.37796652e-01, 1.17291519e+02, 1.74510407e+00, 2.04811249e+01
-2.00000003e-01, 2.96863839e-02, -4.43317473e-01, 1.17274139e+02, 1.43551803e+00, 2.99913464e+01
-1.99999988e-01, 2.43182946e-02, -4.48214740e-01, 1.17499908e+02, 1.67601156e+00, 2.54577579e+01
-2.00000003e-01, 3.14176530e-02, -4.52178568e-01, 1.17273056e+02, 1.93432546e+00, 2.99943562e+01
-2.00000003e-01, 4.84187081e-02, -4.65433240e-01, 1.16912933e+02, 2.61468887e+00, 2.99994755e+01
-1.99999988e-01, 3.72421555e-02, -4.78244513e-01, 1.17232491e+02, 3.37500000e+00, 2.99999981e+01
-2.00000003e-01, 2.13297196e-02, -4.78244483e-01, 1.17758957e+02, 3.27572393e+00, 1.74245281e+01
-2.00000003e-01, -2.00000009e-03, -4.78244483e-01, 1.18571663e+02, 3.12891722e+00, 0.00000000e+00
-2.00000003e-01, -2.00000009e-03, -4.45218742e-01, 1.17724327e+02, 2.69313550e+00, 0.00000000e+00
-2.00000018e-01, -2.00000009e-03, -4.26662475e-01, 1.17121872e+02, 2.49448538e+00, 0.00000000e+00
-2.00000003e-01, 4.76254635e-02, -3.72992247e-01, 1.18109360e+02, 7.36968696e-01, 2.99353428e+01
-1.99999988e-01, 9.52735543e-02, -4.44011152e-01, 1.15789276e+02, 1.30341327e+00, 2.99943371e+01
-2.00000003e-01, 2.99163591e-02, -2.47369885e-01, 1.20162704e+02, 9.85600233e-01, 2.96905174e+01
-2.00000003e-01, 1.38140293e-02, -2.84570754e-01, 1.19446404e+02, 1.44248247e+00, 1.24506721e+01
-2.00000003e-01, 8.32820963e-03, -2.28070423e-01, 1.19484329e+02, 1.77000177e+00, 7.35662270e+00
-2.00000003e-01, 3.63711827e-02, -1.92777708e-01, 1.19096405e+02, 8.08706522e-01, 2.97900429e+01
-2.00000003e-01, 3.83737497e-02, -1.90830335e-01, 1.19014946e+02, 7.84280419e-01, 2.97994137e+01
-2.00000003e-01, 3.62126045e-02, -1.90459818e-01, 1.19034889e+02, 8.15097749e-01, 2.97934055e+01
-2.00000003e-01, 8.84606913e-02, -4.78089124e-01, 1.15649460e+02, 3.36578989e+00, 2.99999962e+01
-2.00000003e-01, 8.85769799e-02, -4.78244513e-01, 1.15648697e+02, 3.37500000e+00, 3.00000000e+01
-2.00000003e-01, 1.29907504e-01, -4.78244513e-01, 1.15071892e+02, 3.37500000e+00, 3.00000000e+01
-2.00000003e-01, 8.81895274e-02, -4.77939904e-01, 1.15658295e+02, 3.35692215e+00, 2.99999866e+01
-2.00000003e-01, -1.47575454e-03, -3.74498487e-01, 1.17137215e+02, 2.06885314e+00, 3.96028638e-01
-2.00000003e-01, 3.55006792e-02, -1.90918460e-01, 1.19077118e+02, 8.36580515e-01, 2.92418823e+01
-2.00000003e-01, 8.83214325e-02, -4.78244513e-01, 1.15652039e+02, 3.37500000e+00, 3.00000000e+01
-2.00000003e-01, -2.00000009e-03, -3.76292527e-01, 1.17137955e+02, 2.09992886e+00, 0.00000000e+00
-2.00000003e-01, -2.00000009e-03, -2.22999811e-01, 1.19435608e+02, 2.11202240e+00, 0.00000000e+00
-1.99999988e-01, 1.67693987e-01, -4.78244513e-01, 1.13767624e+02, 3.37500000e+00, 3.00000000e+01
-2.00000018e-01, 1.37750864e-01, -4.78244513e-01, 1.14810173e+02, 3.37500000e+00, 3.00000000e+01
-2.00000003e-01, -2.00000009e-03, -2.98210710e-01, 1.18596603e+02, 1.84260368e+00, 0.00000000e+00
-2.00000003e-01, 8.80538896e-02, -4.78244513e-01, 1.15661865e+02, 3.37500000e+00, 3.00000000e+01
-2.00000003e-01, 1.50349364e-01, -3.15663368e-01, 1.18742058e+02, 2.45631263e-01, 2.98910389e+01
-2.00000003e-01, 1.52370006e-01, -3.19656163e-01, 1.18866158e+02, 2.52374917e-01, 2.98881741e+01
-2.00000003e-01, 1.56326547e-01, -3.14966619e-01, 1.18680809e+02, 2.44761780e-01, 2.98883743e+01
-2.00000018e-01, 1.89378321e-01, -4.01593119e-01, 1.14321831e+02, 5.73066235e-01, 2.99714642e+01
-2.00000003e-01, 2.08064914e-01, -3.55641276e-01, 1.15681908e+02, 3.52787822e-01, 2.99157009e+01
-2.00000003e-01, 1.79564446e-01, -3.59891444e-01, 1.16151253e+02, 3.57157648e-01, 2.99316177e+01
